date,price,gex
2013-02-06,1512.119995,1949501493.48
2013-02-07,1509.390015,1949395995.317
2013-02-08,1517.930054,2096700652.29
2013-02-11,1517.01001,2184319610.1
2013-02-12,1519.430054,2128303102.5
2013-02-13,1520.329956,2012236679.064
2013-02-14,1521.380005,2161505360.04
2013-02-15,1519.790039,3158968729.161
2013-02-19,1530.939941,1430542181.768
2013-02-20,1511.949951,901839165.419
2013-02-21,1502.420044,636557388.32
2013-02-22,1515.599976,1110694538.905
2013-02-25,1487.849976,497996620.92
2013-02-26,1496.939941,703611705.514
2013-02-27,1515.98999,1152475463.518
2013-02-28,1514.680054,1011455333.821
2013-03-01,1518.199951,1083855994.82
2013-03-04,1525.199951,1277802650.22
2013-03-05,1539.790039,1813447358.369
2013-03-06,1541.459961,1775448594.535
2013-03-07,1544.26001,1938120444.051
2013-03-08,1551.180054,2029533964.005
2013-03-11,1556.219971,2215985843.985
2013-03-12,1552.47998,2029782454.855
2013-03-13,1554.52002,2035305643.17
2013-03-14,1563.22998,2384814338.735
2013-03-15,1560.699951,2732773145.816
2013-03-18,1552.099976,1528451776.72
2013-03-19,1548.339966,1409105595.38
2013-03-20,1558.709961,1629524132.239
2013-03-21,1545.800049,1325773175.274
2013-03-22,1556.890015,1582114581.302
2013-03-25,1551.689941,1550581124.115
2013-03-26,1563.77002,1809272038.357
2013-03-27,1562.849976,1578964435.16
2013-03-28,1569.189941,1650093771.988
2013-04-01,1562.170044,1365443736.11
2013-04-02,1570.25,1550558952.379
2013-04-03,1553.689941,1119758894.411
2013-04-04,1559.97998,1155685835.1
2013-04-05,1553.280029,1141106496.21
2013-04-08,1563.069946,1399732048.955
2013-04-09,1568.609985,1604924733.79
2013-04-10,1587.72998,2294226793.103
2013-04-11,1593.369995,2329480017.922
2013-04-12,1588.849976,1925042270.055
2013-04-15,1552.359985,902992199.61
2013-04-16,1574.569946,1566200613.757
2013-04-17,1552.01001,777019262.519
2013-04-18,1541.609985,503583947.93
2013-04-19,1555.25,750723711.038
2013-04-22,1562.5,947228816.464
2013-04-23,1578.780029,1386724473.775
2013-04-24,1578.790039,1466741214.24
2013-04-25,1585.160034,1681493449.084
2013-04-26,1582.23999,1502013028.439
2013-04-29,1593.609985,1856562178.082
2013-04-30,1597.569946,2135090389.135
2013-05-01,1582.699951,1687783145.9
2013-05-02,1597.589966,2289253436.235
2013-05-03,1614.420044,2453689952.7365
2013-05-06,1617.5,2756639152.35
2013-05-07,1625.959961,2910772777.027
2013-05-08,1632.689941,3211023040.938
2013-05-09,1626.670044,2563892776.779
2013-05-10,1633.699951,2620733448.771
2013-05-13,1633.77002,2748305811.292
2013-05-14,1650.339966,2879428729.608
2013-05-15,1658.780029,2736143054.217
2013-05-16,1650.469971,2746670894.131
2013-05-17,1667.469971,3970036803.73
2013-05-20,1666.290039,2137041042.875
2013-05-21,1669.160034,2116746522.07
2013-05-22,1655.349976,1806341652.952
2013-05-23,1650.51001,1666748852.99
2013-05-24,1649.599976,1749411797.167
2013-05-28,1660.060059,1954441082.986
2013-05-29,1648.359985,1736273531.5
2013-05-30,1654.410034,2045155898.855
2013-05-31,1630.73999,1419013389.484
2013-06-03,1640.420044,1647953790.578
2013-06-04,1631.380005,1487625373.44
2013-06-05,1608.900024,893997562.98
2013-06-06,1622.560059,1055721641.38
2013-06-07,1643.380005,1726009306.41
2013-06-10,1642.810059,1692453822.53
2013-06-11,1626.130005,1203284653.56
2013-06-12,1612.52002,707890185.36
2013-06-13,1636.359985,1477448651.42
2013-06-14,1626.72998,1155781374.375
2013-06-17,1639.040039,1574185595.35
2013-06-18,1651.810059,1947783870.332
2013-06-19,1628.930054,1138762909.08
2013-06-20,1588.189941,-279175959.976
2013-06-21,1592.430054,-54882471.224
2013-06-24,1573.089966,76233882.1
2013-06-25,1588.030029,389026318.471
2013-06-26,1603.26001,687597620.715
2013-06-27,1613.199951,899620819.015
2013-06-28,1606.280029,811382195.027
2013-07-01,1614.959961,1155132966.022
2013-07-02,1614.079956,1284225673.46
2013-07-03,1615.410034,1354734716.175
2013-07-05,1631.890015,1485672074.19
2013-07-08,1640.459961,1653232958.529
2013-07-09,1652.319946,2140508422.86
2013-07-10,1652.619995,2121698644.62
2013-07-11,1675.02002,2988606968.646
2013-07-12,1680.189941,2598071654.603
2013-07-15,1682.5,2713007549.13
2013-07-16,1676.26001,2634835610.79
2013-07-17,1680.910034,2787976285.18
2013-07-18,1689.369995,3046790411.517
2013-07-19,1692.089966,2857092845.056
2013-07-22,1695.530029,1920383728.09
2013-07-23,1692.390015,1832454312.425
2013-07-24,1685.939941,2046120905.94
2013-07-25,1690.25,2170527190.91
2013-07-26,1691.650024,2149890288.368
2013-07-29,1685.329956,2130309224.929
2013-07-30,1685.959961,2240419714.97
2013-07-31,1685.72998,2152088714.237
2013-08-01,1706.869995,2960832855.971
2013-08-02,1709.670044,2776034067.764
2013-08-05,1707.140015,2846494849.242
2013-08-06,1697.369995,2631509965.644
2013-08-07,1690.910034,2346350689.883
2013-08-08,1697.47998,2245622631.332
2013-08-09,1691.420044,2136793037.875
2013-08-12,1689.469971,2401742438.02
2013-08-13,1694.160034,2711543896.127
2013-08-14,1685.390015,2445016035.801
2013-08-15,1661.319946,1669476019.658
2013-08-16,1655.829956,2338838186.312
2013-08-19,1646.060059,1379648544.155
2013-08-20,1652.349976,1345939715.919
2013-08-21,1642.800049,1174798614.305
2013-08-22,1656.959961,1662727396.2
2013-08-23,1663.5,1709225804.21
2013-08-26,1656.780029,1605595524.174
2013-08-27,1630.47998,791502274.301
2013-08-28,1634.959961,951027892.161
2013-08-29,1638.170044,971156153.46
2013-08-30,1632.969971,1001314528.756
2013-09-03,1639.77002,1183103985.299
2013-09-04,1653.079956,1776313535.158
2013-09-05,1655.079956,1782870862.411
2013-09-06,1655.170044,1653462872.258
2013-09-09,1671.709961,2274653492.951
2013-09-10,1683.98999,2576588963.333
2013-09-11,1689.130005,2346433142.205
2013-09-12,1683.420044,2181373338.935
2013-09-13,1687.98999,2205509098.729
2013-09-16,1697.599976,2386111654.48
2013-09-17,1704.76001,2684242848.579
2013-09-18,1725.52002,3627666468.931
2013-09-19,1722.339966,3805889547.912
2013-09-20,1709.910034,2536299852.9
2013-09-23,1701.839966,2114650916.341
2013-09-24,1697.420044,2038456669.36
2013-09-25,1692.77002,1684992316.024
2013-09-26,1698.670044,2101622948.9
2013-09-27,1691.75,1766952528.79
2013-09-30,1681.550049,1460209187.513
2013-10-01,1695.0,2035874511.626
2013-10-02,1693.869995,2193522496.585
2013-10-03,1678.660034,1515364603.793
2013-10-04,1690.5,1839688208.57
2013-10-07,1676.119995,1576608397.538
2013-10-08,1655.449951,762661447.348
2013-10-09,1656.400024,834789865.348
2013-10-10,1692.560059,2230495944.459
2013-10-11,1703.199951,2456435617.384
2013-10-14,1710.140015,2783516305.223
2013-10-15,1698.060059,2519133438.825
2013-10-16,1721.540039,3558499758.823
2013-10-17,1733.150024,4029832847.188
2013-10-18,1744.5,4287596555.347
2013-10-21,1744.660034,2808464285.176
2013-10-22,1754.670044,2982924995.0115
2013-10-23,1746.380005,2786054898.187
2013-10-24,1752.069946,3255629464.404
2013-10-25,1759.77002,2869357925.282
2013-10-28,1762.109985,3059092043.077
2013-10-29,1771.949951,3285994990.068
2013-10-30,1763.310059,3256834201.654
2013-10-31,1756.540039,2951160386.538
2013-11-01,1761.640015,2906370321.662
2013-11-04,1767.930054,3293255723.791
2013-11-05,1762.969971,3265316468.159
2013-11-06,1770.48999,3080946452.365
2013-11-07,1747.150024,1903308226.954
2013-11-08,1770.609985,3111511631.714
2013-11-11,1771.890015,3364552921.398
2013-11-12,1767.689941,3368004995.08
2013-11-13,1782.0,4067621766.489
2013-11-14,1790.619995,4794814779.635
2013-11-15,1798.180054,8992653341.94
2013-11-18,1791.530029,2835570681.66
2013-11-19,1787.869995,2767207106.91
2013-11-20,1781.369995,2486394788.905
2013-11-21,1795.849976,3356118592.977
2013-11-22,1804.76001,3145394124.14
2013-11-25,1802.47998,3292174085.435
2013-11-26,1802.75,3617975324.94
2013-11-27,1807.22998,3987753579.68
2013-11-29,1805.810059,3444613412.64
2013-12-02,1800.900024,3278404003.01
2013-12-03,1795.150024,3286298541.633
2013-12-04,1792.810059,3193857130.047
2013-12-05,1785.030029,3073566262.854
2013-12-06,1805.089966,3297554975.598
2013-12-09,1808.369995,3572390276.815
2013-12-10,1802.619995,3421665867.895
2013-12-11,1782.219971,2536896423.505
2013-12-12,1775.5,2134729062.5
2013-12-13,1775.319946,2364107653.16
2013-12-16,1786.540039,2874626086.3525
2013-12-17,1781.0,2634988473.55
2013-12-18,1810.650024,3687882174.645
2013-12-19,1809.599976,3724679476.705
2013-12-20,1818.319946,3811039241.165
2013-12-23,1827.98999,3704257573.17
2013-12-24,1833.319946,3799201087.565
2013-12-26,1842.02002,4196222304.87
2013-12-27,1841.400024,3545838526.92
2013-12-30,1841.069946,3456429700.18
2013-12-31,1848.359985,3979567665.428
2014-01-02,1831.97998,3233602611.26
2014-01-03,1831.369995,3156026148.209
2014-01-06,1826.77002,3073982747.12
2014-01-07,1837.880005,3558199211.6875
2014-01-08,1837.48999,3495712892.079
2014-01-09,1838.130005,3197764687.525
2014-01-10,1842.369995,3349076787.965
2014-01-13,1819.199951,2571161519.908
2014-01-14,1838.880005,3680276302.34
2014-01-15,1848.380005,4670518809.61
2014-01-16,1845.890015,4455651523.48
2014-01-17,1838.699951,6659403315.255
2014-01-21,1843.800049,1862992117.01
2014-01-22,1844.859985,2022280825.1
2014-01-23,1828.459961,1948769890.43
2014-01-24,1790.290039,848504907.4
2014-01-27,1781.560059,723387099.52
2014-01-28,1792.5,566026371.9
2014-01-29,1774.199951,51709785.92
2014-01-30,1794.189941,748438976.044
2014-01-31,1782.589966,652137832.878
2014-02-03,1741.890015,52837557.11
2014-02-04,1755.199951,594399936.947
2014-02-05,1751.640015,643492161.945
2014-02-06,1773.430054,1025194523.92
2014-02-07,1797.02002,1539174332.145
2014-02-10,1799.839966,1873837556.92
2014-02-11,1819.75,2608222600.394
2014-02-12,1819.26001,2512528018.549
2014-02-13,1829.829956,3280151418.0
2014-02-14,1838.630005,2897209183.88
2014-02-18,1840.76001,3050590370.09
